item,patent_id,title,abstract,label,confidence,rationale,insufficient_info
62,US10180939B2, Emotional and personality analysis of characters and their interrelationships," One embodiment provides a method, including: utilizing a processor to execute computer code that performs the steps of: receiving, at an information handling device, a dataset comprising dialog information between a plurality of characters in a narrative; analyzing, using the processor, the &hellip;",,,,
63,US11526676B2,Implicit discourse relation classification with contextualized word representation,"A method includes: initializing a list of token embeddings, each of the token embeddings corresponding to a tokenized word from text in a corpus of text; generating a graph for a group of consecutive words s from the text, said graph including binary relations between pairs of tokenized words of the group of consecutive words; selecting the token embeddings representing the words of the group of consecutive words from the list of token embeddings; computing a tensor of binary relations as the product between a matrix of the selected token embeddings and a tensor representing discourse relations, the computed tensor representing the binary relations between the pairs of tokenized words; computing a loss using the computed tensor; optimizing the list of token embeddings using the computed loss. The above may be repeated until the computed loss is within a predetermined range.",,,,
64,US10803207B2,System-level approach to goal-driven design,"A design application is configured to perform a system-level optimization of a collection of system components. The design application iteratively executes a multi-objective solver to optimize structural and functional relationships between the system components in order to meet global design criteria and generate a system design. The design application initializes the design process by extracting from a knowledge base system templates having taxonomic, structural, or functional attributes relevant to the system design. The design application generates the knowledge base by mining taxonomic, structural, and functional relationships from a corpus of engineering texts.",,,,
65,US10192148B1,Machine learning of written Latin-alphabet based languages via super-character,"A string of Latin-alphabet based language texts is received and formed a multi-layer 2-D symbol in a computing system. The received string contains at least one word with each word containing at least one letter of the Latin-alphabet based language. 2-D symbol comprises a matrix of N×N pixels of data representing a super-character. The matrix is divided into M×M sub-matrices. Each sub-matrix represents one ideogram formed from the at least one letter contained in a corresponding word in the received string. Ideogram has a square format with a dimension EL letters by EL letters (i.e., row and column). EL is determined from the total number of letters (LL) contained in the corresponding word. EL, LL, N and M are positive integers. Super-character represents a meaning formed from a specific combination of at least one ideogram. Meaning of the super-character is learned with image classification of the 2-D symbol.",,,,
66,US11556713B2,System and method for performing a meaning search using a natural language understanding (NLU) framework,"The present disclosure is directed to an agent automation framework that is capable of extracting meaning from user utterances and suitably responding using a search-based natural language understanding (NLU) framework. The NLU framework includes a meaning extraction subsystem capable of detecting multiple alternative meaning representations for a given natural language utterance. Furthermore, the NLU framework includes a meaning search subsystem that enables elastic confidence thresholds (e.g., elastic beam-width meaning searches), forced diversity, and cognitive construction grammar (CCG)-based predictive scoring functions to provide an efficient and effective meaning search. As such, the disclosed meaning extraction subsystem and meaning search subsystem improve the performance, the domain specificity, the inference quality, and/or the efficiency of the NLU framework.",,,,
67,US10191983B2, System and methods for unit of measurement conversion and search query &hellip;," A system and methods for unit of measurement conversion and search query expansion are described. The search query expansion may include identifying an initial unit of measurement associated with a property and an initial numeric value for the initial unit of measurement within a search query, &hellip;",,,,
68,US10997221B2,Intelligent question answering using machine reading comprehension,Representative embodiments disclose mechanisms to provide direct answers to a query submitted by a user. The mechanisms are tailored so that the answers presented have a high confidence of being correct. A plurality of document segments that are relevant to the query are selected. The selected segments are submitted to a trained machine reading comprehension model along with the query. The result is an extracted answer for one or more of the submitted segments. A subset of the extracted answers are clustered and an answer for each cluster having at least a threshold number of answers are selected as direct answers. The direct answers are presented in a format suitable to the number of selected direct answers.,,,,
69,US11521058B2,Neural map,"A computer-implemented system and method for storing data associated with an agent in a multi-dimensional environment via a memory architecture. The memory architecture is structured so that each unique position in the environment corresponds to a unique position within the memory architecture, thereby allowing the memory architecture to store features located at a particular position in the environment in a memory location specific to that location. As the agent traverses the environment, the agent compares the features at the agent's particular position to a summary of the features stored throughout the memory architecture and writes the features that correspond to the summary to the coordinates in the memory architecture that correspond to the agent's position. The system and method allows agents to learn, using a reinforcement signal, how to behave when acting in an environment that requires storing information over long time steps.",,,,
70,US11615152B2,Graph-based event schema induction for information retrieval,"Systems, devices, computer-implemented methods, and/or computer program products that facilitate event schema induction from unstructured or semi-structured data. In one example, a system can comprise a processor that executes computer executable components stored in memory. The computer executable components can comprise a schema component and a retrieval component. The schema component can derive an event schema for a document corpus using parsing results obtained from the document corpus. The retrieval component can populate a response to a query with a document of the document corpus using events extracted from the query and the document using the event schema.",,,,
71,US10074135B2, Modeling asset transfer flow relationships discovered in unstructured data, Mechanisms are provided for performing an analysis of content based on a flow of property between entities. The mechanisms analyze a corpus of unstructured documents to identify one or more asset transfer flow relationships between entities. The mechanisms generate an asset transfer flow model &hellip;,,,,
72,US10579737B2,Natural language image editing annotation framework,"A framework for annotating image edit requests includes a structure for identifying natural language request as either comments or image edit requests and for identifying the text of a request that maps to an executable action in an image editing program, as well as to identify other entities from the text related to the action. The annotation framework can be used to aid in the creation of artificial intelligence networks that carry out the requested action. An example method includes displaying a test image, displaying a natural language input with selectable text, and providing a plurality of selectable action tag controls and entity tag controls. The method may also include receiving selection of the text, receiving selection of an action tag control for the selected text, generating a labeled pair, and storing the labeled pair with the natural language input as an annotated natural language image edit request.",,,,
73,US11386276B2,Method and system for language and domain acceleration with embedding alignment,"A method, system and a computer program product are provided for aligning embeddings of multiple languages and domains into a shared embedding space by transforming monolingual embeddings into a multilingual embeddings in a first shared embedding space using a cross-lingual learning process, and then transforming the multilingual embeddings into cross-domain, multilingual embeddings in a second shared embedding space using a cross-domain learning process.",,,,
74,US10902952B2,"Mobile supplementation, extraction, and analysis of health records","A system, method, and mobile device application are configured to capture, with a mobile device, a document such as a next generation sequencing (NGS) report that includes NGS medical information about a genetically sequenced patient. At least some of the information is extracted from the document using an entity linking engine, and the extracted information is provided into a structured data repository where it is accessible to provide information regarding the patient specifically as well as collectively as part of a cohort of patients with similar genetic variants, medical histories, or other commonalities. In one aspect, the document is matched to a template model, and the document is processed using one or more masks segregating the template model, and therefore the document, into a series of distinct subregions.",,,,
75,US11600264B2,Extracting content from speech prosody,"A prosodic speech recognition engine configured to identify prosodic features and patterns in a speech continuum for the extraction of linguistic content including para-syntactic content, discourse function, information structure, meaning, and speaker sentiment.",,,,
76,US11474978B2,Systems and methods for a data search engine based on data profiles,"Systems and methods for searching data are disclosed. For example, the system may include one or more memory units storing instructions and one or more processors configured to execute the instructions to perform operations. The operations may include receiving a sample dataset and identifying a data schema of the sample dataset. The operations may include generating a sample data vector that includes statistical metrics of the sample dataset and information based on the data schema of the sample dataset. The operations may include searching a data index comprising a plurality of stored data vectors corresponding to a plurality of reference datasets. The stored data vectors may include statistical metrics of the reference datasets and information based on corresponding data schema. The operations may include generating, based on the search and the sample data vector, one or more similarity metrics of the sample dataset to individual ones of the reference datasets.",,,,
77,US10120864B2, Method and system for identifying user issues in forum posts based on discourse &hellip;," A method for categorizing an issue includes, for each of a plurality of categories of issue, providing at least one discourse pattern for identify text sequences that meet the discourse pattern. At least one of the discourse patterns specifies that an instance of a domain term in a domain term &hellip;",,,,
78,US10169332B2, Data analysis for automated coupling of simulation models," A distributed computer system includes a distributed processor, a distributed memory, and a simulation engine (SE). The SE includes a simulation I/O coupler that links a first variable of a first simulation model I/O data structure to a second variable of a second simulation model I/O data &hellip;",,,,
79,US11321164B2,Anomaly recognition in information technology environments,"A method comprises obtaining a set of log files for a software system. The set of log files applies to an extended window. A periodic pattern in a first set of error-event surges in the set of log files is identified. The error-event surges in the first set is identified as event noise. A second set of log files for the software system is obtained. The second set of log files applies to a shortened window. Timeseries analysis on the second set of log files is performed. A particular error-event surge in a detection period in the second set of log files that is abnormal as compared to the shortened window is detected based on the timeseries analysis. That the particular error-event surge does not fit into the periodic pattern is determined, the particular error-event surge is characterized as an anomaly, based on the determining.",,,,
80,US10592261B1,Automating user input from onscreen content,"Systems and methods are provided for automating user input using onscreen content. For example, a method includes receiving a selection of a first screen capture image representing a screen captured on a mobile device associated with a user, the first image having a first timestamp. The method also includes determining, using a data store of images of previously captured screens of the mobile device, a reference image from the data store that has a timestamp prior to the first timestamp, identifying a plurality of images in the data store that have respective timestamps between the timestamp for the reference image and the first timestamp, and providing the reference image, the plurality of images, and the first image to the mobile device.",,,,
81,US11222054B2,Low-complexity methods for assessing distances between pairs of documents,"Two sets X 2 and X 1 of histograms of words, and a vocabulary V are accessed. Each of the two sets is representable as a sparse matrix, each row of which corresponds to a histogram. Each histogram is representable as a sparse vector, whose dimension is determined by a dimension of the vocabulary. Two phases compute distances between pairs of histograms. The first phase includes computations performed for each histogram and for each word in the vocabulary to obtain a dense, floating-point vector y. The second phase includes computing, for each histogram, a sparse-matrix, dense-vector multiplication between a matrix-representation of the set X 1 of histograms and the vector y. The multiplication is performed to obtain distances between all histograms of the set X 1 and each histogram X 2 [j]. Distances between all pairs of histograms are obtained, based on which distances between documents can subsequently be assessed.",,,,
82,US11551084B2,System and method of robust active learning method using noisy labels and domain adaptation,"A system and method is disclosed for labeling an unlabeled dataset, with a labeling budget constraint and noisy oracles (i.e. noisy labels provided by annotator), using a noisy labeled dataset from another domain or application. The system and method combine active learning with noisy labels and active learning with domain adaptation to enhance classification performance.",,,,
83,US11315132B2,Customer journey prediction and customer segmentation,Embodiments for implementing intelligent customer journey prediction and customer segmentation of a processor in a computing environment. A response outcome of a customer journey for a user may be predicted according to an assigned score based on one or more discriminatory sequence patterns identified between one or more groups of customers using one or more machine learning operations.,,,,
84,US10360303B2,Learning document embeddings with convolutional neural network architectures,"A document analysis system trains a document embedding model configured to receive a set of word embeddings for an ordered set of words in a document and generate a document embedding for the document. The document embedding is a representation of the document in a latent space that characterizes the document with respect to properties such as structure, content, and sentiment. The document embedding may represent a prediction of a set of words that follow the last word in the ordered set of words of the document. The document embedding model may be associated with a convolutional neural network (CNN) architecture that includes one or more convolutional layers. The CNN architecture of the document embedding model allows the document analysis system to overcome various difficulties of existing document embedding models, and allows the document analysis system to easily process variable-length documents that include a variable number of words.",,,,
85,US11257493B2,Vision-assisted speech processing,"Systems and methods for processing speech are described. In certain examples, image data is used to generate visual feature tensors and audio data is used to generate audio feature tensors. The visual feature tensors and the audio feature tensors are used by a linguistic model to determine linguistic features that are usable to parse an utterance of a user. The generation of the feature tensors may be jointly configured with the linguistic model. Systems may be provided in a client-server architecture.",,,,
86,US10176799B2, Method and system for training language models to reduce recognition errors," A method and for training a language model to reduce recognition errors, wherein the language model is a recurrent neural network language model (RNNLM) by first acquiring training samples. An automatic speech recognition system (ASR) is applied to the training samples to produce recognized words &hellip;",,,,
87,US11144728B2,Neural relation extraction within and across sentence boundaries,"Provided is a computer-implemented method for inter-sententially determining a semantic relationship between a first entity and a second entity in a natural language document, comprising at least the steps of: generating a first dependency parse tree, DPT, for a first origin sentence of the document which comprises the first entity, wherein each DPT comprises at least a root node; generating a second DPT for a second origin sentence of the document which mentions the second entity; linking the root nodes of the first DPT and the second DPT so as to create a chain of words, COW; determining for each word in the COW a subtree; generating for each word in the COW a subtree embedding vector c w which is based at least on word embedding vectors x w of the words of the subtree; generating a representation vector p w for each word in the COW; and classifying, using a recurrent neural network, the semantic relationship between the first entity and the second entity, based on the input representation vectors pw.",,,,
88,US11487939B2,Systems and methods for unsupervised autoregressive text compression,"Embodiments described herein provide a provide a fully unsupervised model for text compression. Specifically, the unsupervised model is configured to identify an optimal deletion path for each input sequence of texts (e.g., a sentence) and words from the input sequence are gradually deleted along the deletion path. To identify the optimal deletion path, the unsupervised model may adopt a pretrained bidirectional language model (BERT) to score each candidate deletion based on the average perplexity of the resulting sentence and performs a simple greedy look-ahead tree search to select the best deletion for each step.",,,,
89,US11269929B2,Combining semantic relationship information with entities and non-entities for predictive analytics in a cognitive system,"According to embodiments of the present invention, methods, systems and computer readable media are provided, in a cognitive data processing system, for implementing a predictive analytics system that utilizes entity and non-entity information. A collection of content is processed to extract defined entities pertaining to one or more domains. Semantic relationships are determined between objects within the collection of content, wherein the objects include undefined entities. The defined entities and objects are resolved based on entity definitions and the semantic relationships to determine defined entities and undefined entities for a resulting data set. The resulting data set is processed to identify one or more relationships between a defined entity and an undefined entity.",,,,
90,US11069347B2,Intelligent automated assistant for media exploration,"Systems and processes for operating an intelligent automated assistant to explore media items are provided. In one example process, a speech input representing a request for one or more media items is received from a user. The process determines whether the speech input corresponds to a user intent of obtaining personalized recommendations for media items. In response to determining that the speech input corresponds to a user intent of obtaining personalized recommendations for media items, at least one media item is obtained from a user-specific corpus of media items. The user-specific corpus of media items is generate based on data associated with the user. The at least one media item is provided.",,,,
91,US11017177B2,Neural network systems and methods for target identification from text,"Neural network systems are provided that comprise one or more neural networks. The first neural network can comprise a convolutional neural network (CNN) long short-term memory (LSTM) architecture for receiving a primary data set comprising text messages and output a primary data structure comprising a text pattern-based feature. The second neural network can comprise a CNN architecture for receiving a secondary data sets derived from the primary data set and output a plurality of secondary data structures. The third neural network can combine the data structures to produce a combined data structure, and then process it to produce a categorized data structure comprising the text messages assigned to targets. The primary data set can comprise hate speech and the categorized data structure can comprise target categories, for example, hate targets. Methods of operating neural network systems and computer program products for performing such methods are also provided.",,,,
92,US11380304B1,Generation of alternate representions of utterances,"A system is provided for handling errors during automatic speech recognition by processing a potentially defective utterance to determine an alternative, potentially successful utterance. The system processes an ASR hypothesis, using a probabilistic graph, to determine a likelihood that it will result in an error. Using the probabilistic graph, the system determines an alternate utterance.",,,,
93,US10006148B2, Drug discovery methods," Methods for identifying disease-related pathways that can be used to identify drug discovery targets, to identify new uses for known drugs, to identify markers for drug response, and related purposes.",,,,
94,US11520997B2,Computing device and method for generating machine translation model and machine-translation device,"A device and a method for generating a machine translation model and a machine translation device are disclosed. The device inputs a source training sentence of a source language and a dictionary data to a generator network so that the generator network outputs a target training sentence of a target language according to the source training sentence and the dictionary data. Then, the device inputs the target training sentence and a correct translation of the source training sentence to a discriminator network so as to calculate an error between the target training sentence and the correct translation according to the output of the discriminator network, and trains the generator network and the discriminator network respectively. The trained generator network is the machine translation model.",,,,
95,US10102851B1, Incremental utterance processing and semantic stability determination," Incremental speech recognition results are generated and used to determine a user&#39;s intent from an utterance. Utterance audio data may be partitioned into multiple portions, and incremental speech recognition results may be generated from one or more of the portions. A natural language &hellip;",,,,
96,US10157174B2, Utilizing a dialectical model in a question answering system," A method, system or computer usable program product for utilizing a dialectical model for providing an answer to a user query including receiving, by a system, a natural language query from a user; applying, by the system, natural language processing (NLP) to the query to generate a first set of &hellip;",,,,
97,US10048826B2, Interactive visualizations of a convolutional neural network," Interactive visualizations of a convolutional neural network are provided. For example, a graphical user interface (GUI) can include a matrix having symbols indicating feature-map values that represent likelihoods of particular features being present or absent at various locations in an input to a &hellip;",,,,
98,US11126800B2,Systems and methods for simultaneous translation with integrated anticipation and controllable latency (STACL),Presented herein are embodiments of a prefix-to-prefix framework for simultaneous translation that implicitly learns to anticipates in a single translation. Within these frameworks are effective “wait-k” policy model embodiments that may be trained to generate a target sentence concurrently with a source sentence but lag behind by a predefined number of words. Embodiments of the prefix-to-prefix framework achieve low latency and better quality when compared to full-sentence translation in four directions: Chinese↔English and German↔English. Also presented herein is a novel latency metric that addresses deficiencies of previous latency metrics.,,,,
99,US10943583B1,Creation of language models for speech recognition,"A system to perform automatic speech recognition (ASR) using a dynamic language model. Portions of the language model can include a group of probabilities rather than a single probability. At runtime individual probabilities of the group are weighted and combined to create an adjusted probability for the portion of the language model. The adjusted probability can be used for ASR processing. The weights can be determined based on a characteristic of the utterance, for example an associated speechlet/application, the specific user speaking, or other characteristic. By applying the weights at runtime the system can use a single language model to dynamically adjust to different utterance conditions.",,,,
100,US11533495B2,Hierarchical video encoders,"A computer-implemented method for generating video representations utilizing a hierarchical video encoder includes obtaining a video, wherein the video includes a plurality of frames, processing each of the plurality of frames with a machine-learned frame-level encoder model to respectively generate a plurality of frame representations for the plurality of frames, the plurality of frame representations respective to the plurality of frames determining a plurality of segment representations representative of a plurality of video segments including one or more of the plurality of frames, the plurality of segment representations based at least in part on the plurality of frame representations, processing the plurality of segment representations with a machine-learned segment-level encoder model to generate a plurality of contextualized segment representations, determining a video representation based at least in part on the plurality of contextualized segment representations, and providing the video representation as an output.",,,,
101,US11586934B1,Evolutionary programming techniques utilizing context indications,"Techniques are provided for determining compatibility of first and second candidate code based on functionality. When the first candidate code and the second candidate code are compatible, third candidate code based is determined based on the first candidate code and the second candidate code. The third candidate that was determined based on the first candidate code and the second candidate code is then provided.",,,,
102,US10191975B1,Features for automatic classification of narrative point of view and diegesis,"Methods for classifying a point of view and diegesis are provided. A method can include providing a processor in operable communication with a computer-readable medium, receiving a narrative text, extracting a set of features from the narrative text, transmitting the features into a feature vector, transmitting a plurality of feature vectors to a support vector machine, predicting a point of view and diegesis for the narrative text associate with a particular feature vector, and annotating the narrative text.",,,,
103,US11379345B2,System and method for controlled data extraction in computer networks,"Methods and systems for controlled data extraction in a computer network, with: monitoring data from at least one program running on a node of the computer network, determination of at least one data portion from the monitored data, where the data portions are selected upon identification of at least one of: application and server events, code line execution, file access and data calls, moving of the determined at least one data portion to a data sink, analyzing of the data on the data sink to determine at least one segment for modification, and modifying the at least one segment.",,,,
104,US10956310B2,Automated test case generation for deep neural networks and other model-based artificial intelligence systems,"Methods, systems and computer program products for automated test case generation are provided herein. A computer-implemented method includes selecting sample input data as a test case for a system under test, executing the test case on the system under test to obtain a result, and applying the result to a local explainer function to obtain at least a portion of a corresponding decision tree. The method further includes determining at least one path constraint from the decision tree, solving the path constraint to obtain a solution, and generating at least one other test case for the system under test based at least in part on the solution of the path constraint. The steps of the method are illustratively repeated in each of one or more additional iterations until at least one designated stopping criterion is met. The resulting test cases form a test suite for testing of a deep neural network (DNN) or other system.",,,,
105,US11561986B1,Applied artificial intelligence technology for narrative generation using an invocable analysis service,"Disclosed herein are example embodiments of an improved narrative generation system where an analysis service that executes data analysis logic that supports story generation is segregated from an authoring service that executes authoring logic for story generation through an interface. Accordingly, when the authoring service needs analysis from the analysis service, it can invoke the analysis service through the interface. By exposing the analysis service to the authoring service through the shared interface, the details of the logic underlying the analysis service are shielded from the authoring service (and vice versa where the details of the authoring service are shielded from the analysis service). Through parameterization of operating variables, the analysis service can thus be designed as a generalized data analysis service that can operate in a number of different content verticals with respect to a variety of different story types.",,,,
106,US11501203B2,"Learning data selection method, learning data selection device, and computer-readable recording medium","A non-transitory computer-readable recording medium stores therein a learning data selection program that causes a computer to execute a process including: extracting a first input data group relating to first input data in correspondence with designation of the first input data included in an input data group input to a machine learning model, the machine learning model classifying or determining transformed data that is transformed from input data; acquiring a first transformed data group of the machine learning model and a first output data group of the machine learning model, respectively, the first transformed data group being input to the machine learning model and corresponding to the first input data group, the first output data group corresponding to the first transformed data group; and selecting learning target data of an estimation model from the first input data group.",,,,
107,US10339122B2,Enriching how-to guides by linking actionable phrases,"A computer-implemented linking system and method provide for linking actionable phrases in a first document to other documents in a document corpus. The method includes identifying at least one actionable phrase in a first document. The actionable phrase may include an action, its direct object, and any modifier of the direct object. For each identified action phrase the document corpus is searched to identify other documents, which are scored using a scoring function which takes into account occurrences of words of the actionable phrase in each identified document. The actionable phrase is linked to at least a part of one of the most highly ranked documents in the set of documents.",,,,
108,US11467802B2,Maintaining privacy of personal information,"Systems and processes for operating an intelligent automated assistant to perform intelligent list reading are provided. In accordance with one example, a method includes, at an electronic device having one or more processors, receiving a natural-language input corresponding to a domain; providing the natural-language input to an external device; receiving, from the external device, a process flow corresponding to the domain; determining, with the process flow corresponding to the domain, a task associated with the natural-language input; performing the task; and providing an output indicating whether the task has been performed.",,,,
109,US10691473B2,Intelligent automated assistant in a messaging environment,"Systems and processes for operating an intelligent automated assistant in a messaging environment are provided. In one example process, a graphical user interface (GUI) having a plurality of previous messages between a user of the electronic device and the digital assistant can be displayed on a display. The plurality of previous messages can be presented in a conversational view. User input can be received and in response to receiving the user input, the user input can be displayed as a first message in the GUI. A contextual state of the electronic device corresponding to the displayed user input can be stored. The process can cause an action to be performed in accordance with a user intent derived from the user input. A response based on the action can be displayed as a second message in the GUI.",,,,
110,US10170123B2, Intelligent assistant for home automation," This relates to systems and processes for using a virtual assistant to control electronic devices. In one example process, a user can speak an input in natural language form to a user device to control one or more electronic devices. The user device can transmit the user speech to a server to be &hellip;",,,,
111,US10699717B2,Intelligent assistant for home automation,"This relates to systems and processes for using a virtual assistant to control electronic devices. In one example process, a user can speak an input in natural language form to a user device to control one or more electronic devices. The user device can transmit the user speech to a server to be converted into a textual representation. The server can identify the one or more electronic devices and appropriate commands to be performed by the one or more electronic devices based on the textual representation. The identified one or more devices and commands to be performed can be transmitted back to the user device, which can forward the commands to the appropriate one or more electronic devices for execution. In response to receiving the commands, the one or more electronic devices can perform the commands and transmit their current states to the user device.",,,,
112,US11562745B2,Sequence-to-sequence speech recognition with latency threshold,"A computing system including one or more processors configured to receive an audio input. The one or more processors may generate a text transcription of the audio input at a sequence-to-sequence speech recognition model, which may assign a respective plurality of external-model text tokens to a plurality of frames included in the audio input. Each external-model text token may have an external-model alignment within the audio input. Based on the audio input, the one or more processors may generate a plurality of hidden states. Based on the plurality of hidden states, the one or more processors may generate a plurality of output text tokens. Each output text token may have a corresponding output alignment within the audio input. For each output text token, a latency between the output alignment and the external-model alignment may be below a predetermined latency threshold. The one or more processors may output the text transcription.",,,,
113,US11538554B1,Nick-based data storage in native nucleic acids,"Nick-based methods, devices, and systems for nick-based data storage in a deoxyribonucleic acid (DNA) sequence are disclosed. Digital information is encoded in a register of at least one copy of a double-stranded DNA sequence having a plurality of nickable positions. The data is translated into a sequence of values from a nick alphabet that is subsequently mapped to the plurality of nickable positions, and the DNA sequence is nicked according to the mapped values. Because the digital information is encoded as a series of nicked and non-nicked positions of a double-stranded DNA sequence, the nucleotide sequence of the DNA can be non-synthetic, or “native” DNA.",,,,
114,US10957041B2,Determining biomarkers from histopathology slide images,A generalizable and interpretable deep learning model for predicting biomarker status and biomarker metrics from histopathology slide images is provided.,,,,
115,US11386667B2,Video analysis using a deep fusion reasoning engine (DFRE),"In one embodiment, a video analysis service receives video data captured by one or more cameras at a particular location. The service applies a neural network-based model to portions of the video data, to identify objects within the video data. The service maps outputs of the neural network-based model to symbols using a conceptual space. The outputs of the model comprise the identified objects. The service applies a symbolic reasoning engine to the symbols, to generate an alert. The service sends the alert to a user interface in conjunction with the video data.",,,,
116,US11501172B2,Accurately identifying members of training data in variational autoencoders by reconstruction error,"A system is described that can include a machine learning model and at least one programmable processor communicatively coupled to the machine learning model. The machine learning model can receive data, generate a continuous probability distribution associated with the data, sample a latent variable from the continuous probability distribution to generate a plurality of samples, and generate reconstructed data from the plurality of samples. The at least one programmable processor can compute a reconstruction error by determining a distance between the reconstructed data and the data, and generate, based on the reconstruction error, an indication representing whether a specific record within the received data was used to train the machine learning model. Related apparatuses, methods, techniques, non-transitory computer programmable products, non-transitory machine-readable medium, articles, and other systems are also within the scope of this disclosure.",,,,
117,US10370246B1,Portable and low-error DNA-based data storage,"The present disclosure provides DNA-based storage system demonstrated through experimental and theoretical verification that such a platform can easily be implemented in practice using portable, nanopore-based sequencers. The gist of the approach is to design an integrated pipeline that encodes data to avoid synthesis and sequencing errors, enables random access through addressing, and leverages efficient portable nanopore sequencing via new anchored iterative alignment and insertion/deletion error-correcting codes. The embodiments herein represent the only known random access DNA-based data storage system that uses error-prone portable, nanopore-based sequencers and produces low-error readouts with the highest reported information rate and density.",,,,
118,US11182682B2,System for extracting semantic triples for building a knowledge base,"The present disclosure relates to a computer-implemented method of verifying a semantic triple generated for building a knowledge base including data patterns defining concepts associated with semantic triples derived from unstructured text. The method includes providing the semantic triple to a user interface, the semantic triple including a subject, an object, and a relation. The method also includes receiving, from the user interface, an acceptance or a rejection of the subject, the object, and the relation as relevant or not to the knowledge base. The method also includes transmitting the semantic triple for inclusion as a data pattern in the knowledge base in the event that all of the subject, the object, and the relation, have been accepted.",,,,
119,US10930301B1,Sequence models for audio scene recognition,"A method is provided. Intermediate audio features are generated from an input acoustic sequence. Using a nearest neighbor search, segments of the input acoustic sequence are classified based on the intermediate audio features to generate a final intermediate feature as a classification for the input acoustic sequence. Each segment corresponds to a respective different acoustic window. The generating step includes learning the intermediate audio features from Multi-Frequency Cepstral Component (MFCC) features extracted from the input acoustic sequence. The generating step includes dividing the same scene into the different acoustic windows having varying MFCC features. The generating step includes feeding the MFCC features of each of the different acoustic windows into respective LSTM units such that a hidden state of each respective LSTM unit is passed through an attention layer to identify feature correlations between hidden states at different time steps corresponding to different ones of the different acoustic windows.",,,,
120,US11544310B2,Method for adaptive conversation state management with filtering operators applied dynamically as part of a conversational interface,"A system and method of processing a search request is provided. Identification of a desired content item is based on comparing a topic of the search request to previous user input. The method includes providing access to a set of content items with metadata that describes the corresponding content items and providing information about previous searches. The method further includes receiving a present input from the user and determining a relatedness measure between the information about the previous searches and an element of the present input. If the relatedness measure is high, the method also includes selecting a subset of content items based on comparing the present input and information about the previous searches with the metadata that describes the subset of content items. Otherwise, the method includes selecting a subset of content items based on comparing the present input with the metadata that describes the subset of content items.",,,,
121,US11250311B2,Deep neural network-based decision network,"The technology disclosed proposes using a combination of computationally cheap, less-accurate bag of words (BoW) model and computationally expensive, more-accurate long short-term memory (LSTM) model to perform natural processing tasks such as sentiment analysis. The use of cheap, less-accurate BoW model is referred to herein as “skimming”. The use of expensive, more-accurate LSTM model is referred to herein as “reading”. The technology disclosed presents a probability-based guider (PBG). PBG combines the use of BoW model and the LSTM model. PBG uses a probability thresholding strategy to determine, based on the results of the BoW model, whether to invoke the LSTM model for reliably classifying a sentence as positive or negative. The technology disclosed also presents a deep neural network-based decision network (DDN) that is trained to learn the relationship between the BoW model and the LSTM model and to invoke only one of the two models.",,,,
122,US11343270B1,Systems and methods for post-quantum cryptography optimization,"Systems, apparatuses, methods, and computer program products are disclosed for post-quantum cryptography (PQC). An example method includes receiving data. The example method further includes retrieving policy information associated with the data. The example method further includes generating a set of policy attributes about the data based on the data and the policy information. Subsequently, the example method includes generating a risk profile data structure based on the set of policy attributes. The risk profile data structure may be indicative of a vulnerability of the data in a PQC data environment.",,,,
123,US11354506B2,Coreference-aware representation learning for neural named entity recognition,"Previous neural network models that perform named entity recognition (NER) typically treat the input sentences as a linear sequence of words but ignore rich structural information, such as the coreference relations among non-adjacent words, phrases, or entities. Presented herein are novel approaches to learn coreference-aware word representations for the NER task. In one or more embodiments, a “CNN-BiLSTM-CRF” neural architecture is modified to include a coreference layer component on top of the BiLSTM layer to incorporate coreferential relations. Also, in one or more embodiments, a coreference regularization is added during training to ensure that the coreferential entities share similar representations and consistent predictions within the same coreference cluster. A model embodiment achieved new state-of-the-art performance when tested.",,,,
124,US10789552B2,Question answering system-based generation of distractors using machine learning,"Generating distractors for text-based MCT items. An MCT item stem is received. The stem is transmitted to a QA system and a plurality of candidate answers related to the stem is received from the QA system. Incorrect answers in the plurality of candidate answers are identified. Textual features are extracted from the stem. A set of semantic criteria associated with the extracted textual features is generated. Based on the generated semantic criteria, a subset of the incorrect candidate answers is selected.",,,,
125,US10216839B2,Relation extraction using co-training with distant supervision,"Generating, updating, and using a knowledge graph. Concepts in a knowledge graph can have relations to one another. These relations may be expressed as confidence values. A training data set may be split into two portions, with the first portion used to update confidence values for existing relations between concept pairs, using the knowledge graph. These confidence values can be used, together with the second portion used to update confidence values for known phrases that express known relations. These confidence values, in turn, can be used, together with the first portion, to increase the accuracy of the original confidence scores with respect to existing relations. The process may be iteratively employed, with each iteration increasing the accuracy of confidence scores.",,,,
126,US10074360B2, Providing an indication of the suitability of speech recognition, This relates to providing an indication of the suitability of an acoustic environment for performing speech recognition. One process can include receiving an audio input and determining a speech recognition suitability based on the audio input. The speech recognition suitability can include a &hellip;,,,,
